DATAFLOW,COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-05,844,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-06,643,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-07,1036,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-08,488,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-09,621,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-10,534,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-11,329,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2025-12,588,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2026-01,255,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2026-02,391,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2026-03,652,AUD,3,,
ABS:MERCH_EXP(1.0.0),727,TOT,F,M,2026-04,509,AUD,3,,
ABS:MERCH_EXP(1.0.0),726,TOT,7,M,2025-07,25,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2025-07,2,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2025-08,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2025-09,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2025-10,43,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2025-11,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2025-12,12,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2026-01,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2026-02,53,AUD,3,,
ABS:MERCH_EXP(1.0.0),635,TOT,7,M,2026-03,0,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-05,27,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-06,63,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-07,76,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-08,21,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-09,126,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-10,23,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-11,85,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2025-12,121,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2026-01,44,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2026-02,6,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2026-03,36,AUD,3,,
ABS:MERCH_EXP(1.0.0),231,TOT,TOT,M,2026-04,38,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-05,38373,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-06,36341,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-07,39510,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-08,31239,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-09,37312,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-10,47395,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-11,49242,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2025-12,50807,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2026-01,16606,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2026-02,68685,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2026-03,46962,AUD,3,,
ABS:MERCH_EXP(1.0.0),268,TOT,1,M,2026-04,58499,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-05,725,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-06,852,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-07,982,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-08,862,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-09,1092,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-10,1073,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-11,1372,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2025-12,1625,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2026-01,1641,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2026-02,1591,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2026-03,1484,AUD,3,,
ABS:MERCH_EXP(1.0.0),025,TOT,TOT,M,2026-04,1766,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-05,259,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-06,198,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-07,213,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-08,173,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-09,283,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-10,328,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-11,259,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2025-12,196,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2026-01,95,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2026-02,60,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2026-03,23,AUD,3,,
ABS:MERCH_EXP(1.0.0),098,TOT,7,M,2026-04,8,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-05,1684,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-06,714,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-07,1254,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-08,403,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-09,420,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-10,1057,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-11,923,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2025-12,302,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2026-01,443,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2026-02,870,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2026-03,709,AUD,3,,
ABS:MERCH_EXP(1.0.0),532,TOT,2,M,2026-04,661,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2025-06,10,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2025-08,3,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2025-09,22,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2025-10,58,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2025-11,3,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2025-12,4,AUD,3,,
ABS:MERCH_EXP(1.0.0),651,TOT,5,M,2026-03,3,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-05,21864,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-06,24685,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-07,29384,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-08,25100,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-09,26203,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-10,28299,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-11,26469,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2025-12,23183,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2026-01,21217,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2026-02,21129,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2026-03,26251,AUD,3,,
ABS:MERCH_EXP(1.0.0),899,TOT,3,M,2026-04,6844,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-05,4380,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-06,1693,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-07,5307,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-08,3686,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-09,2912,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-10,4157,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-11,9082,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2025-12,3132,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2026-01,1404,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2026-02,1597,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2026-03,4795,AUD,3,,
ABS:MERCH_EXP(1.0.0),629,TOT,2,M,2026-04,3743,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-05,396,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-06,398,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-07,258,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-08,702,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-09,893,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-10,540,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-11,647,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2025-12,564,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2026-01,307,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2026-02,353,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2026-03,420,AUD,3,,
ABS:MERCH_EXP(1.0.0),232,TOT,2,M,2026-04,674,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-05,10401,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-06,7601,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-07,12768,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-08,12152,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-09,11152,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-10,9731,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-11,12172,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2025-12,9032,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2026-01,10017,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2026-02,7850,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2026-03,9439,AUD,3,,
ABS:MERCH_EXP(1.0.0),83,TOT,F,M,2026-04,9390,AUD,3,,
ABS:MERCH_EXP(1.0.0),674,TOT,6,M,2025-05,17,AUD,3,,
ABS:MERCH_EXP(1.0.0),674,TOT,6,M,2025-09,205,AUD,3,,
ABS:MERCH_EXP(1.0.0),674,TOT,6,M,2025-10,180,AUD,3,,
ABS:MERCH_EXP(1.0.0),674,TOT,6,M,2026-01,19,AUD,3,,
ABS:MERCH_EXP(1.0.0),674,TOT,6,M,2026-04,134,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-06,3,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-07,6,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-08,273,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-09,64,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-10,12,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-11,3,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2025-12,3,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2026-02,5,AUD,3,,
ABS:MERCH_EXP(1.0.0),58,TOT,6,M,2026-04,0,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-05,1444,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-06,1945,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-07,539,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-08,1141,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-09,2040,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-10,1119,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-11,1370,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2025-12,1357,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2026-01,1134,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2026-02,615,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2026-03,1683,AUD,3,,
ABS:MERCH_EXP(1.0.0),871,TOT,1,M,2026-04,1702,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-05,20047,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-06,12717,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-07,14459,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-08,11802,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-09,17214,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-10,13844,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-11,13683,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2025-12,14281,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2026-01,11708,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2026-02,25732,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2026-03,16157,AUD,3,,
ABS:MERCH_EXP(1.0.0),76,TOT,2,M,2026-04,13917,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-05,37283,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-06,3652,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-07,4545,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-08,5877,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-09,6582,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-10,4457,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-11,6357,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2025-12,4084,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2026-01,4606,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2026-02,6232,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2026-03,3841,AUD,3,,
ABS:MERCH_EXP(1.0.0),716,TOT,F,M,2026-04,6861,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-05,6341,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-06,5062,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-07,4550,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-08,8977,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-09,8145,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-10,6049,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-11,6248,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2025-12,4969,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2026-01,4000,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2026-02,5177,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2026-03,4983,AUD,3,,
ABS:MERCH_EXP(1.0.0),625,TOT,TOT,M,2026-04,4556,AUD,3,,
ABS:MERCH_EXP(1.0.0),01,TOT,5,M,2025-05,117360,AUD,3,,
ABS:MERCH_EXP(1.0.0),01,TOT,5,M,2025-06,116608,AUD,3,,
ABS:MERCH_EXP(1.0.0),01,TOT,5,M,2025-07,113875,AUD,3,,
ABS:MERCH_EXP(1.0.0),01,TOT,5,M,2025-08,83256,AUD,3,,
ABS:MERCH_EXP(1.0.0),01,TOT,5,M,2025-09,108367,AUD,3,,
