DATAFLOW,COMMODITY_SITC,COUNTRY_ORIGIN,STATE_DEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-05,4990,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-06,10234,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-07,14450,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-08,9639,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-09,14996,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-10,11671,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-11,9421,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2025-12,7823,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2026-01,3580,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2026-02,5614,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2026-03,19636,AUD,3,,
ABS:MERCH_IMP(1.0.0),5,TOT,6,M,2026-04,7693,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-05,230447,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-06,149280,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-07,149772,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-08,138071,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-09,154967,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-10,167430,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-11,131755,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2025-12,167580,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2026-01,165867,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2026-02,166265,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2026-03,137752,AUD,3,,
ABS:MERCH_IMP(1.0.0),679,TOT,TOT,M,2026-04,139242,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-05,169695,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-06,147759,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-07,228388,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-08,178932,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-09,216996,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-10,277538,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-11,218890,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2025-12,181962,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2026-01,295897,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2026-02,210222,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2026-03,133036,AUD,3,,
ABS:MERCH_IMP(1.0.0),716,TOT,TOT,M,2026-04,213881,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-05,117942,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-06,99075,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-07,96462,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-08,94727,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-09,99108,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-10,97319,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-11,95559,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2025-12,90513,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2026-01,83068,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2026-02,80939,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2026-03,103698,AUD,3,,
ABS:MERCH_IMP(1.0.0),625,TOT,3,M,2026-04,100167,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-05,48692,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-06,35845,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-07,31925,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-08,36101,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-09,35320,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-10,44734,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-11,35132,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2025-12,28900,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2026-01,34778,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2026-02,23784,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2026-03,36951,AUD,3,,
ABS:MERCH_IMP(1.0.0),722,TOT,2,M,2026-04,42572,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-05,18910,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-06,32255,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-07,39572,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-08,23646,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-09,7585,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-10,5665,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-11,4320,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2025-12,886,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2026-01,6471,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2026-02,2864,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2026-03,2967,AUD,3,,
ABS:MERCH_IMP(1.0.0),12,TOT,2,M,2026-04,2651,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-05,29,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-06,28,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-07,27,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-08,14,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-09,74,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-10,78,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-11,16,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2025-12,220,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2026-01,17,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2026-02,28,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2026-03,30,AUD,3,,
ABS:MERCH_IMP(1.0.0),633,TOT,5,M,2026-04,10,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-05,6231,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-06,5569,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-07,5342,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-08,6390,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-09,4923,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-10,7734,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-11,3824,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2025-12,7546,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2026-01,5186,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2026-02,5434,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2026-03,6440,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,1,M,2026-04,4730,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-05,1439,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-06,1069,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-07,4478,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-08,2084,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-09,2213,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-10,452,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-11,1144,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2025-12,1540,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2026-01,4872,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2026-02,1313,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2026-03,4142,AUD,3,,
ABS:MERCH_IMP(1.0.0),733,TOT,5,M,2026-04,2743,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-05,428,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-06,578,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-07,272,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-08,476,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-09,534,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-10,832,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-11,556,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2025-12,668,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2026-01,122,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2026-02,550,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2026-03,433,AUD,3,,
ABS:MERCH_IMP(1.0.0),21,TOT,1,M,2026-04,374,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-05,182,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-06,451,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-07,99,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-08,577,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-09,384,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-10,208,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-11,225,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2025-12,782,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2026-01,901,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2026-02,309,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2026-03,919,AUD,3,,
ABS:MERCH_IMP(1.0.0),67,TOT,6,M,2026-04,172,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-05,2564,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-06,2171,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-07,20436,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-08,21278,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-09,2058,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-10,22655,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-11,1120,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2025-12,32148,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2026-01,2208,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2026-02,42378,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2026-03,42663,AUD,3,,
ABS:MERCH_IMP(1.0.0),27,TOT,5,M,2026-04,1636,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-05,9080,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-06,6859,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-07,8131,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-08,6617,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-09,7986,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-10,10676,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-11,7052,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2025-12,7914,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2026-01,8371,AUD,3,,
ABS:MERCH_IMP(1.0.0),533,TOT,3,M,2026-02,7973,AUD,3,,
